ANO_ELEICAO_ANALISE,SG_UF,SG_UE,NM_UE,codigo_ibge_municipio,total_candidatos,candidatos_cristaos,eleitos_total,cristaos_eleitos,pct_cristaos,chance_eleicao_cristaos
2012,AL,28479,PORTO DE PEDRAS,2707404,50,0,9,0,0.0,
2012,AL,28495,PORTO REAL DO COLÉGIO,2707503,54,1,11,0,0.018518518518518517,0.0
2012,AL,28517,QUEBRANGULO,2707602,68,0,9,0,0.0,
2012,AL,28533,RIO LARGO,2707701,139,1,10,0,0.007194244604316547,0.0
2012,AL,28550,ROTEIRO,2707800,32,1,9,0,0.03125,0.0
2012,AL,28576,SANTA LUZIA DO NORTE,2707909,54,1,9,0,0.018518518518518517,0.0
2012,AL,28592,SANTANA DO IPANEMA,2708006,122,0,9,0,0.0,
2012,AL,28614,SANTANA DO MUNDAÚ,2708105,36,0,9,0,0.0,
2012,AL,28630,SÃO BRÁS,2708204,55,3,9,0,0.05454545454545454,0.0
2012,AL,28657,SÃO JOSÉ DA LAJE,2708303,74,2,9,0,0.02702702702702703,0.0
2012,AL,28673,SÃO JOSÉ DA TAPERA,2708402,86,1,13,0,0.011627906976744186,0.0
2012,AL,28690,SÃO LUÍS DO QUITUNDE,2708501,133,2,13,0,0.015037593984962405,0.0
2012,AL,28711,SÃO MIGUEL DOS CAMPOS,2708600,106,1,13,0,0.009433962264150943,0.0
2012,AL,28738,SÃO MIGUEL DOS MILAGRES,2708709,75,0,9,0,0.0,
2012,AL,28754,SÃO SEBASTIÃO,2708808,103,4,13,0,0.038834951456310676,0.0
2012,AL,28770,SATUBA,2708907,95,1,9,0,0.010526315789473684,0.0
2012,AL,28797,TANQUE D'ARCA,2709004,46,1,9,0,0.021739130434782608,0.0
2012,AL,28819,TAQUARANA,2709103,65,1,11,0,0.015384615384615385,0.0
2012,AL,28835,TRAIPU,2709202,61,0,11,0,0.0,
2012,AL,28851,UNIÃO DOS PALMARES,2709301,151,3,15,0,0.019867549668874173,0.0
2012,AL,28878,VIÇOSA,2709400,68,0,11,0,0.0,
2012,AL,28894,CRAÍBAS,2702355,82,1,11,0,0.012195121951219513,0.0
2012,AL,28916,SENADOR RUI PALMEIRA,2708956,52,1,9,1,0.019230769230769232,1.0
2012,AL,28932,TEOTÔNIO VILELA,2709152,92,4,13,0,0.043478260869565216,0.0
2012,AM,02003,APUÍ,,89,2,9,0,0.02247191011235955,0.0
2012,AM,02011,NOVO AIRÃO,,134,3,9,0,0.022388059701492536,0.0
2012,AM,02020,GUAJARÁ,,50,0,9,0,0.0,
2012,AM,02038,ANORI,,64,1,11,0,0.015625,0.0
2012,AM,02046,CAREIRO DA VÁRZEA,,136,0,11,0,0.0,
2012,AM,02054,ATALAIA DO NORTE,,85,0,11,0,0.0,
2012,AM,02070,AUTAZES,,158,3,13,0,0.0189873417721519,0.0
2012,AM,02097,BARCELOS,,91,3,11,0,0.03296703296703297,0.0
2012,AM,02119,BARREIRINHA,,99,4,11,1,0.04040404040404041,0.25
2012,AM,02135,BENJAMIN CONSTANT,,110,1,13,0,0.00909090909090909,0.0
2012,AM,02151,BOCA DO ACRE,,97,4,11,0,0.041237113402061855,0.0
2012,AM,02178,BORBA,,91,3,9,0,0.03296703296703297,0.0
