ANO_ELEICAO_ANALISE,ESFERA,SG_UF,grupo_religioso,votos,total_recorte,pct_votos,comparacao,codarea
2018,federal,MS,Esquerda,810,810,1.0,cristaos_direita_vs_esquerda,50
2018,federal,MT,Direita,9987,11310,0.8830238726790451,cristaos_direita_vs_esquerda,51
2018,federal,MT,Esquerda,1323,11310,0.1169761273209549,cristaos_direita_vs_esquerda,51
2018,federal,PA,Direita,4251,4251,1.0,cristaos_direita_vs_esquerda,15
2018,federal,PB,Direita,29803,121211,0.24587702436247535,cristaos_direita_vs_esquerda,25
2018,federal,PB,Esquerda,91408,121211,0.7541229756375246,cristaos_direita_vs_esquerda,25
2018,federal,PE,Direita,199787,391605,0.5101747934781221,cristaos_direita_vs_esquerda,26
2018,federal,PE,Esquerda,191818,391605,0.4898252065218779,cristaos_direita_vs_esquerda,26
2018,federal,PI,Direita,4660,81133,0.05743655479274771,cristaos_direita_vs_esquerda,22
2018,federal,PI,Esquerda,76473,81133,0.9425634452072523,cristaos_direita_vs_esquerda,22
2018,federal,PR,Direita,22241,22482,0.9892803131394005,cristaos_direita_vs_esquerda,41
2018,federal,PR,Esquerda,241,22482,0.01071968686059959,cristaos_direita_vs_esquerda,41
2018,federal,RJ,Direita,404440,445897,0.9070256135385526,cristaos_direita_vs_esquerda,33
2018,federal,RJ,Esquerda,41457,445897,0.09297438646144737,cristaos_direita_vs_esquerda,33
2018,federal,RN,Esquerda,8304,8304,1.0,cristaos_direita_vs_esquerda,24
2018,federal,RO,Direita,63836,63836,1.0,cristaos_direita_vs_esquerda,11
2018,federal,RR,Direita,106949,108449,0.9861686138184769,cristaos_direita_vs_esquerda,14
2018,federal,RR,Esquerda,1500,108449,0.013831386181523112,cristaos_direita_vs_esquerda,14
2018,federal,RS,Direita,128791,132148,0.9745966643460363,cristaos_direita_vs_esquerda,43
2018,federal,RS,Esquerda,3357,132148,0.025403335653963736,cristaos_direita_vs_esquerda,43
2018,federal,SC,Esquerda,1643,1643,1.0,cristaos_direita_vs_esquerda,42
2018,federal,SE,Direita,248932,312750,0.7959456434852118,cristaos_direita_vs_esquerda,28
2018,federal,SE,Esquerda,63818,312750,0.20405435651478818,cristaos_direita_vs_esquerda,28
2018,federal,SP,Direita,426738,506206,0.8430125284963039,cristaos_direita_vs_esquerda,35
2018,federal,SP,Esquerda,79468,506206,0.15698747150369613,cristaos_direita_vs_esquerda,35
2018,federal,TO,Direita,10061,10061,1.0,cristaos_direita_vs_esquerda,17
2020,municipal,AC,Direita,2670,4305,0.6202090592334495,cristaos_direita_vs_esquerda,12
2020,municipal,AC,Esquerda,1635,4305,0.3797909407665505,cristaos_direita_vs_esquerda,12
2020,municipal,AL,Direita,19052,19816,0.9614452967299152,cristaos_direita_vs_esquerda,27
2020,municipal,AL,Esquerda,764,19816,0.03855470327008478,cristaos_direita_vs_esquerda,27
2020,municipal,AM,Direita,16409,20664,0.7940863337204801,cristaos_direita_vs_esquerda,13
2020,municipal,AM,Esquerda,4255,20664,0.20591366627951993,cristaos_direita_vs_esquerda,13
2020,municipal,AP,Direita,8400,10516,0.798782807151008,cristaos_direita_vs_esquerda,16
2020,municipal,AP,Esquerda,2116,10516,0.201217192848992,cristaos_direita_vs_esquerda,16
2020,municipal,BA,Direita,337384,480849,0.7016423035090018,cristaos_direita_vs_esquerda,29
2020,municipal,BA,Esquerda,143465,480849,0.2983576964909982,cristaos_direita_vs_esquerda,29
2020,municipal,CE,Direita,31650,51725,0.6118898018366361,cristaos_direita_vs_esquerda,23
2020,municipal,CE,Esquerda,20075,51725,0.38811019816336395,cristaos_direita_vs_esquerda,23
2020,municipal,ES,Direita,26555,34698,0.7653178857571041,cristaos_direita_vs_esquerda,32
2020,municipal,ES,Esquerda,8143,34698,0.23468211424289584,cristaos_direita_vs_esquerda,32
2020,municipal,GO,Direita,57568,74219,0.7756504399143077,cristaos_direita_vs_esquerda,52
2020,municipal,GO,Esquerda,16651,74219,0.22434956008569235,cristaos_direita_vs_esquerda,52
2020,municipal,MA,Direita,69778,105684,0.6602513152416638,cristaos_direita_vs_esquerda,21
2020,municipal,MA,Esquerda,35906,105684,0.3397486847583362,cristaos_direita_vs_esquerda,21
2020,municipal,MG,Direita,183211,242424,0.7557461307461307,cristaos_direita_vs_esquerda,31
2020,municipal,MG,Esquerda,59213,242424,0.24425386925386924,cristaos_direita_vs_esquerda,31
2020,municipal,MS,Direita,19383,23980,0.8082985821517932,cristaos_direita_vs_esquerda,50
2020,municipal,MS,Esquerda,4597,23980,0.19170141784820685,cristaos_direita_vs_esquerda,50
2020,municipal,MT,Direita,18592,26690,0.6965904833270888,cristaos_direita_vs_esquerda,51
2020,municipal,MT,Esquerda,8098,26690,0.3034095166729112,cristaos_direita_vs_esquerda,51
2020,municipal,PA,Direita,81576,97301,0.838388094675286,cristaos_direita_vs_esquerda,15
2020,municipal,PA,Esquerda,15725,97301,0.16161190532471403,cristaos_direita_vs_esquerda,15
