ANO_ELEICAO_ANALISE,ESFERA,SG_UF,codigo_ibge_municipio,municipio_ibge,grupo_religioso,votos,total_recorte,pct_votos,comparacao
2012,municipal,BA,2902807,Barra Da Estiva,Não cristãos,13568,13568,1.0,cristaos_vs_nao_cristaos
2012,municipal,BA,2902906,Barra Do Choça,Cristãos,961,16139,0.05954520106574137,cristaos_vs_nao_cristaos
2012,municipal,BA,2902906,Barra Do Choça,Não cristãos,15178,16139,0.9404547989342587,cristaos_vs_nao_cristaos
2012,municipal,BA,2903003,Barra Do Mendes,Cristãos,370,7600,0.04868421052631579,cristaos_vs_nao_cristaos
2012,municipal,BA,2903003,Barra Do Mendes,Não cristãos,7230,7600,0.9513157894736842,cristaos_vs_nao_cristaos
2012,municipal,BA,2903102,Barra Do Rocha,Cristãos,543,3426,0.1584938704028021,cristaos_vs_nao_cristaos
2012,municipal,BA,2903102,Barra Do Rocha,Não cristãos,2883,3426,0.841506129597198,cristaos_vs_nao_cristaos
2012,municipal,BA,2903201,Barreiras,Cristãos,3767,65142,0.05782751527432378,cristaos_vs_nao_cristaos
2012,municipal,BA,2903201,Barreiras,Não cristãos,61375,65142,0.9421724847256762,cristaos_vs_nao_cristaos
2012,municipal,BA,2903235,Barro Alto,Cristãos,52,7424,0.007004310344827586,cristaos_vs_nao_cristaos
2012,municipal,BA,2903235,Barro Alto,Não cristãos,7372,7424,0.9929956896551724,cristaos_vs_nao_cristaos
2012,municipal,BA,2903276,Barrocas,Cristãos,27,8704,0.0031020220588235292,cristaos_vs_nao_cristaos
2012,municipal,BA,2903276,Barrocas,Não cristãos,8677,8704,0.9968979779411765,cristaos_vs_nao_cristaos
2012,municipal,BA,2903300,Barro Preto,Cristãos,399,4138,0.09642339294345094,cristaos_vs_nao_cristaos
2012,municipal,BA,2903300,Barro Preto,Não cristãos,3739,4138,0.9035766070565491,cristaos_vs_nao_cristaos
2012,municipal,BA,2903409,Belmonte,Cristãos,480,9610,0.04994797086368366,cristaos_vs_nao_cristaos
2012,municipal,BA,2903409,Belmonte,Não cristãos,9130,9610,0.9500520291363164,cristaos_vs_nao_cristaos
2012,municipal,BA,2903508,Belo Campo,Cristãos,702,10200,0.0688235294117647,cristaos_vs_nao_cristaos
2012,municipal,BA,2903508,Belo Campo,Não cristãos,9498,10200,0.9311764705882353,cristaos_vs_nao_cristaos
2012,municipal,BA,2903607,Biritinga,Cristãos,676,8029,0.08419479387221322,cristaos_vs_nao_cristaos
2012,municipal,BA,2903607,Biritinga,Não cristãos,7353,8029,0.9158052061277868,cristaos_vs_nao_cristaos
2012,municipal,BA,2903706,Boa Nova,Cristãos,532,8428,0.06312292358803986,cristaos_vs_nao_cristaos
2012,municipal,BA,2903706,Boa Nova,Não cristãos,7896,8428,0.9368770764119602,cristaos_vs_nao_cristaos
2012,municipal,BA,2903805,Boa Vista Do Tupim,Cristãos,1002,9658,0.10374818803064817,cristaos_vs_nao_cristaos
2012,municipal,BA,2903805,Boa Vista Do Tupim,Não cristãos,8656,9658,0.8962518119693519,cristaos_vs_nao_cristaos
2012,municipal,BA,2903904,Bom Jesus Da Lapa,Cristãos,1362,24203,0.05627401561789861,cristaos_vs_nao_cristaos
2012,municipal,BA,2903904,Bom Jesus Da Lapa,Não cristãos,22841,24203,0.9437259843821014,cristaos_vs_nao_cristaos
2012,municipal,BA,2903953,Bom Jesus Da Serra,Não cristãos,5625,5625,1.0,cristaos_vs_nao_cristaos
2012,municipal,BA,2904001,Boninal,Cristãos,22,6552,0.003357753357753358,cristaos_vs_nao_cristaos
2012,municipal,BA,2904001,Boninal,Não cristãos,6530,6552,0.9966422466422467,cristaos_vs_nao_cristaos
2012,municipal,BA,2904050,Bonito,Cristãos,92,8255,0.011144760751059964,cristaos_vs_nao_cristaos
2012,municipal,BA,2904050,Bonito,Não cristãos,8163,8255,0.98885523924894,cristaos_vs_nao_cristaos
2012,municipal,BA,2904100,Boquira,Cristãos,148,10727,0.013796960939684907,cristaos_vs_nao_cristaos
2012,municipal,BA,2904100,Boquira,Não cristãos,10579,10727,0.9862030390603151,cristaos_vs_nao_cristaos
2012,municipal,BA,2904209,Botuporã,Cristãos,164,6762,0.024253179532682637,cristaos_vs_nao_cristaos
2012,municipal,BA,2904209,Botuporã,Não cristãos,6598,6762,0.9757468204673173,cristaos_vs_nao_cristaos
2012,municipal,BA,2904308,Brejões,Cristãos,145,7662,0.01892456277734273,cristaos_vs_nao_cristaos
2012,municipal,BA,2904308,Brejões,Não cristãos,7517,7662,0.9810754372226572,cristaos_vs_nao_cristaos
2012,municipal,BA,2904407,Brejolândia,Cristãos,428,6426,0.06660441954559601,cristaos_vs_nao_cristaos
2012,municipal,BA,2904407,Brejolândia,Não cristãos,5998,6426,0.933395580454404,cristaos_vs_nao_cristaos
2012,municipal,BA,2904506,Brotas De Macaúbas,Cristãos,400,6425,0.0622568093385214,cristaos_vs_nao_cristaos
2012,municipal,BA,2904506,Brotas De Macaúbas,Não cristãos,6025,6425,0.9377431906614786,cristaos_vs_nao_cristaos
2012,municipal,BA,2904605,Brumado,Não cristãos,33902,33902,1.0,cristaos_vs_nao_cristaos
2012,municipal,BA,2904704,Buerarema,Cristãos,589,9586,0.061443772167744624,cristaos_vs_nao_cristaos
2012,municipal,BA,2904704,Buerarema,Não cristãos,8997,9586,0.9385562278322553,cristaos_vs_nao_cristaos
